Sr No._x,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix_x,"Bond
Number_x",Denominations_x,Issue Branch Code,Issue Teller,Status,Prefix_Bond,Sr No._y,Date of,Name of the Political Party,"Account no. of
Political Party",Prefix_y,"Bond
Number_y",Denominations_y,"Pay Branch
Code",Pay Teller
6406,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10023,10000000,300,7905165,Paid,OC10023,8025,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10023,10000000,1,3490777
6421,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10024,10000000,300,7905165,Paid,OC10024,8040,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10024,10000000,1,3490777
6412,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10025,10000000,300,7905165,Paid,OC10025,8031,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10025,10000000,1,3490777
6430,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10026,10000000,300,7905165,Paid,OC10026,8049,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10026,10000000,1,3490777
6414,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10027,10000000,300,7905165,Paid,OC10027,8033,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10027,10000000,1,3490777
6422,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10028,10000000,300,7905165,Paid,OC10028,8041,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10028,10000000,1,3490777
6409,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10029,10000000,300,7905165,Paid,OC10029,8028,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10029,10000000,1,3490777
6426,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10030,10000000,300,7905165,Paid,OC10030,8045,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10030,10000000,1,3490777
6408,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10031,10000000,300,7905165,Paid,OC10031,8027,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10031,10000000,1,3490777
6425,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10032,10000000,300,7905165,Paid,OC10032,8044,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10032,10000000,1,3490777
6403,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10033,10000000,300,7905165,Paid,OC10033,8022,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10033,10000000,1,3490777
6418,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10034,10000000,300,7905165,Paid,OC10034,8037,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10034,10000000,1,3490777
6410,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10035,10000000,300,7905165,Paid,OC10035,8029,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10035,10000000,1,3490777
6429,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10036,10000000,300,7905165,Paid,OC10036,8048,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10036,10000000,1,3490777
6407,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10037,10000000,300,7905165,Paid,OC10037,8026,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10037,10000000,1,3490777
6678,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10038,10000000,300,7905165,Paid,OC10038,8577,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10038,10000000,691,3428540
6701,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10039,10000000,300,7905165,Paid,OC10039,8408,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10039,10000000,1,3490777
6698,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10040,10000000,300,7905165,Paid,OC10040,8597,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10040,10000000,691,3428540
6703,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10041,10000000,300,7905165,Paid,OC10041,8410,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10041,10000000,1,3490777
6683,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10042,10000000,300,7905165,Paid,OC10042,8582,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10042,10000000,691,3428540
6707,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10043,10000000,300,7905165,Paid,OC10043,8414,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10043,10000000,1,3490777
6694,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10044,10000000,300,7905165,Paid,OC10044,8593,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10044,10000000,691,3428540
6702,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10045,10000000,300,7905165,Paid,OC10045,8409,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10045,10000000,1,3490777
6682,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10046,10000000,300,7905165,Paid,OC10046,8581,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10046,10000000,691,3428540
6704,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10047,10000000,300,7905165,Paid,OC10047,8411,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10047,10000000,1,3490777
6676,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10048,10000000,300,7905165,Paid,OC10048,8575,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10048,10000000,691,3428540
6708,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10049,10000000,300,7905165,Paid,OC10049,8415,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10049,10000000,1,3490777
6677,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10050,10000000,300,7905165,Paid,OC10050,8576,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10050,10000000,691,3428540
6700,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10051,10000000,300,7905165,Paid,OC10051,8407,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10051,10000000,1,3490777
6692,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10052,10000000,300,7905165,Paid,OC10052,8591,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10052,10000000,691,3428540
6705,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10053,10000000,300,7905165,Paid,OC10053,8412,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10053,10000000,1,3490777
6691,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10054,10000000,300,7905165,Paid,OC10054,8590,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10054,10000000,691,3428540
6706,3.00E+20,05-01-2022,05-01-2022,19-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10055,10000000,300,7905165,Paid,OC10055,8413,11-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10055,10000000,1,3490777
6690,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10056,10000000,300,7905165,Paid,OC10056,8589,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10056,10000000,691,3428540
6938,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10057,10000000,300,7905165,Paid,OC10057,8801,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10057,10000000,691,7516991
6697,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10058,10000000,300,7905165,Paid,OC10058,8596,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10058,10000000,691,3428540
6940,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10059,10000000,300,7905165,Paid,OC10059,8803,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10059,10000000,691,7516991
6689,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10060,10000000,300,7905165,Paid,OC10060,8588,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10060,10000000,691,3428540
6937,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10061,10000000,300,7905165,Paid,OC10061,8800,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10061,10000000,691,7516991
6688,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10062,10000000,300,7905165,Paid,OC10062,8587,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10062,10000000,691,3428540
6939,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10063,10000000,300,7905165,Paid,OC10063,8802,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10063,10000000,691,7516991
6679,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10064,10000000,300,7905165,Paid,OC10064,8578,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10064,10000000,691,3428540
6934,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10065,10000000,300,7905165,Paid,OC10065,8797,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10065,10000000,691,7516991
6693,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10066,10000000,300,7905165,Paid,OC10066,8592,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10066,10000000,691,3428540
6935,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10067,10000000,300,7905165,Paid,OC10067,8798,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10067,10000000,691,7516991
6684,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10068,10000000,300,7905165,Paid,OC10068,8583,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10068,10000000,691,3428540
6936,3.00E+20,05-01-2022,05-01-2022,19-01-2022,SCAFFOLD PROPERTIES PVT LTD,OC,10069,10000000,300,7905165,Paid,OC10069,8799,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10069,10000000,691,7516991
6687,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10070,10000000,300,7905165,Paid,OC10070,8586,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10070,10000000,691,3428540
6826,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10071,10000000,300,7905165,Paid,OC10071,8008,06-01-2022,SHIVSENA,*******4444,OC,10071,10000000,300,3656179
6699,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10072,10000000,300,7905165,Paid,OC10072,8598,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10072,10000000,691,3428540
6827,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10073,10000000,300,7905165,Paid,OC10073,8009,06-01-2022,SHIVSENA,*******4444,OC,10073,10000000,300,3656179
6680,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10074,10000000,300,7905165,Paid,OC10074,8579,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10074,10000000,691,3428540
6816,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10075,10000000,300,7905165,Paid,OC10075,7998,06-01-2022,SHIVSENA,*******4444,OC,10075,10000000,300,3656179
6696,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10076,10000000,300,7905165,Paid,OC10076,8595,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10076,10000000,691,3428540
6821,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10077,10000000,300,7905165,Paid,OC10077,8003,06-01-2022,SHIVSENA,*******4444,OC,10077,10000000,300,3656179
6695,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10078,10000000,300,7905165,Paid,OC10078,8594,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10078,10000000,691,3428540
6828,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10079,10000000,300,7905165,Paid,OC10079,8010,06-01-2022,SHIVSENA,*******4444,OC,10079,10000000,300,3656179
6681,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10080,10000000,300,7905165,Paid,OC10080,8580,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10080,10000000,691,3428540
6819,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10081,10000000,300,7905165,Paid,OC10081,8001,06-01-2022,SHIVSENA,*******4444,OC,10081,10000000,300,3656179
6675,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10082,10000000,300,7905165,Paid,OC10082,8574,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10082,10000000,691,3428540
6812,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10083,10000000,300,7905165,Paid,OC10083,7994,06-01-2022,SHIVSENA,*******4444,OC,10083,10000000,300,3656179
6686,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10084,10000000,300,7905165,Paid,OC10084,8585,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10084,10000000,691,3428540
6824,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10085,10000000,300,7905165,Paid,OC10085,8006,06-01-2022,SHIVSENA,*******4444,OC,10085,10000000,300,3656179
6685,3.00E+20,05-01-2022,05-01-2022,19-01-2022,MODERN ROAD MAKERS PVT. LTD.,OC,10086,10000000,300,7905165,Paid,OC10086,8584,12-01-2022,BHARATIYA JANATA PARTY,*******8244,OC,10086,10000000,691,3428540
6829,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10087,10000000,300,7905165,Paid,OC10087,8011,06-01-2022,SHIVSENA,*******4444,OC,10087,10000000,300,3656179
7408,3.00E+20,07-01-2022,07-01-2022,21-01-2022,ANBEE CONSTRUCTIONS LLP,OC,10088,10000000,300,7905165,Paid,OC10088,8805,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10088,10000000,691,7516991
6830,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10089,10000000,300,7905165,Paid,OC10089,8012,06-01-2022,SHIVSENA,*******4444,OC,10089,10000000,300,3656179
7407,3.00E+20,07-01-2022,07-01-2022,21-01-2022,ANBEE CONSTRUCTIONS LLP,OC,10090,10000000,300,7905165,Paid,OC10090,8804,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10090,10000000,691,7516991
6832,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10091,10000000,300,7905165,Paid,OC10091,8014,06-01-2022,SHIVSENA,*******4444,OC,10091,10000000,300,3656179
7433,3.00E+20,07-01-2022,07-01-2022,21-01-2022,CAPE TRADING LLP,OC,10092,10000000,300,7905165,Paid,OC10092,8807,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10092,10000000,691,7516991
6817,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10093,10000000,300,7905165,Paid,OC10093,7999,06-01-2022,SHIVSENA,*******4444,OC,10093,10000000,300,3656179
7432,3.00E+20,07-01-2022,07-01-2022,21-01-2022,CAPE TRADING LLP,OC,10094,10000000,300,7905165,Paid,OC10094,8806,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10094,10000000,691,7516991
6818,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10095,10000000,300,7905165,Paid,OC10095,8000,06-01-2022,SHIVSENA,*******4444,OC,10095,10000000,300,3656179
7640,3.00E+20,07-01-2022,07-01-2022,21-01-2022,PALM SHELTER ESTATE DEVELOPMENT LLP,OC,10096,10000000,300,7905165,Paid,OC10096,8809,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10096,10000000,691,7516991
6811,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10097,10000000,300,7905165,Paid,OC10097,7993,06-01-2022,SHIVSENA,*******4444,OC,10097,10000000,300,3656179
7641,3.00E+20,07-01-2022,07-01-2022,21-01-2022,PALM SHELTER ESTATE DEVELOPMENT LLP,OC,10098,10000000,300,7905165,Paid,OC10098,8810,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10098,10000000,691,7516991
6820,3.00E+20,05-01-2022,05-01-2022,19-01-2022,QWIKSUPPLYCHAINPRIVATELIMITED,OC,10099,10000000,300,7905165,Paid,OC10099,8002,06-01-2022,SHIVSENA,*******4444,OC,10099,10000000,300,3656179
7639,3.00E+20,07-01-2022,07-01-2022,21-01-2022,PALM SHELTER ESTATE DEVELOPMENT LLP,OC,10100,10000000,300,7905165,Paid,OC10100,8808,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10100,10000000,691,7516991
6282,1.20E+18,03-01-2022,03-01-2022,17-01-2022,BENGAL COKE COMPANY LIMITED,OC,10101,10000000,1,6405134,Paid,OC10101,7891,06-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10101,10000000,691,7516991
6392,1.20E+18,04-01-2022,04-01-2022,18-01-2022,KAMNA CREDITS AND PROMOTORS PVT LTD,OC,10102,10000000,1,6405134,Paid,OC10102,8436,11-01-2022,BIJU JANATA DAL,*******4340,OC,10102,10000000,41,7409060
6276,1.20E+18,03-01-2022,03-01-2022,17-01-2022,BENGAL COKE COMPANY LIMITED,OC,10103,10000000,1,6405134,Paid,OC10103,7885,06-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10103,10000000,691,7516991
6396,1.20E+18,04-01-2022,04-01-2022,18-01-2022,KAMNA CREDITS AND PROMOTORS PVT LTD,OC,10104,10000000,1,6405134,Paid,OC10104,8440,11-01-2022,BIJU JANATA DAL,*******4340,OC,10104,10000000,41,7409060
